name,DOB,weight,height,birth place,one day races,GC,TT,sprint,climber,PCS rank,UCI rank,All time rank,link,lonlat
Gianluca Pollefliet,2002-01-28,74.0,1.81,Bornem,10,0,0,34,0,1411,1106,1000000,rider/gianluca-pollefliet,"(4.238967723449794, 51.09096325)"
Matúš Štoček,1999-03-12,80.0,1.89,,22,2,13,71,10,1151,507,1000000,rider/matus-stocek,"(None, None)"
Francesco Frattini,1967-01-18,60.0,1.71,Varese,692,698,248,926,278,1000000,1000000,1418,rider/francesco-frattini,"(8.754157594917665, 45.83971285)"
Fernando Arroyo,1994-04-05,63.0,1.78,Huamantla,3,0,24,0,0,1000000,1000000,1000000,rider/fernando-mex-arroyo,"(-97.9145664896116, 19.32333185)"
Florian Vermeersch,1999-03-12,85.0,1.93,Ghent,547,119,128,290,54,244,238,1000000,rider/florian-vermeersch,"(3.7250121, 51.0538286)"
Yasutaka Tashiro,1974-06-07,54.0,1.68,Tokyo,135,52,1,192,44,1000000,1000000,1000000,rider/yasutaka-tashiro,"(139.7594549, 35.6828387)"
Kenneth Vanbilsen,1990-06-01,73.0,1.84,Herk-de-Stad,814,175,3,990,58,702,744,1000000,rider/kenneth-van-bilsen,"(5.188430186895337, 50.9222911)"
Tilen Finkšt,1997-07-06,68.0,1.76,,39,31,70,179,20,701,476,1000000,rider/tilen-finkst,"(None, None)"
Alan Boileau,1999-06-25,57.0,1.71,Morlaix,24,50,57,10,132,880,1421,1000000,rider/alan-boileau,"(-3.8331972, 48.5824932)"
Peter Sagan,1990-01-26,78.0,1.82,Žilina,9184,1687,1313,10766,7142,156,203,17,rider/peter-sagan,"(18.7393139, 49.2234674)"
Richie Porte,1985-01-30,62.0,1.72,Launceston,334,7697,4287,420,4740,195,65,119,rider/richie-porte,"(147.1373496, -41.4340813)"
Piotr Mazur,1982-12-02,73.0,1.77,Vancouver,46,88,266,123,8,1000000,1000000,1000000,rider/piotr-mazur,"(-123.113952, 49.2608724)"
Antoine Duchesne,1991-09-12,75.0,1.9, Saguenay,311,246,20,184,36,982,638,1000000,rider/antoine-duchesne,"(None, None)"
Mikaël Cherel,1986-03-17,65.0,1.83,Saint-Hilaire-du-Harcouët,628,1273,1,472,962,453,1268,1000000,rider/mikael-cherel,"(-1.085461778865405, 48.5714837)"
Jason Van Dalen,1994-07-02,70.0,1.78,'s-Gravenzande,66,32,42,373,0,2125,2811,1000000,rider/jason-van-dalen,"(4.1603759, 52.0028294)"
Jonathan Klever Caicedo,1993-04-28,62.0,1.64,Santa Martha de Cuba,178,285,102,122,213,1145,1733,1000000,rider/jonathan-klever-caicedo,"(-77.7510525, 0.6370627)"
Zoran Klemenčič,1976-04-28,69.0,1.82,Ljubljana,194,5,36,1181,6,1000000,1000000,1000000,rider/zoran-klemencic,"(14.5069289, 46.0500268)"
Francisco Cabello,1969-05-20,72.0,1.74,La Zubia,479,1289,185,928,114,1000000,1000000,1390,rider/francisco-cabello,"(-3.5850833, 37.1206862)"
Neil Stephens,1963-10-01,65.0,1.71,Canberra,621,837,635,1012,47,1000000,1000000,1274,rider/neil-stephens,"(149.1012676, -35.2975906)"
Eduard Prades,1987-08-09,63.0,1.78,Alcanar,803,1163,30,1062,1080,297,341,1132,rider/eduard-prades,"(0.4808409, 40.5438634)"
Genki Yamamoto,1991-11-19,62.0,1.63,Nara,77,94,33,108,52,2310,2834,1000000,rider/genki-yamamoto,"(166.93479227083333, -0.5275000000000001)"
Manuel Jorge Domínguez,1962-12-08,67.0,1.73,Barredos,256,335,0,2744,44,1000000,1000000,1193,rider/manuel-jorge-dominguez,"(-5.5732961, 43.2596743)"
Julen Amezqueta,1993-08-12,63.0,1.74,Estella,84,291,1,42,222,579,540,1000000,rider/julen-amezqueta,"(-2.0314834, 42.672094)"
Daniel Navarro,1983-07-18,60.0,1.75,Salamanca,290,2537,250,206,2270,481,715,1920,rider/daniel-navarro,"(-5.6640182, 40.9651572)"
Aleksandr Komin,1995-04-12,63.0,1.83,,1,5,7,65,1,2133,2547,1000000,rider/aleksandr-komin,"(None, None)"
Patrik Tybor,1987-09-16,72.0,1.84,Dubnica nad Váhom,139,159,348,661,86,2297,1346,1000000,rider/patrik-tybor,"(18.1662967, 48.9574049)"
Alberto Bettiol,1993-10-29,69.0,1.8,Poggibonsi,1617,560,578,252,1236,245,366,1452,rider/alberto-bettiol,"(11.1483367, 43.4650284)"
Riccardo Verza,1997-08-22,69.0,1.73,,25,70,0,55,19,1101,1124,1000000,rider/riccardo-verza-2,"(None, None)"
Søren Kragh Andersen,1994-08-10,73.0,1.78,Strib,909,1026,1698,684,745,174,133,956,rider/soren-kragh-andersen,"(9.7763619, 55.5369188)"
Ali Nouisri,1994-01-20,74.0,1.85,Tunis,55,58,211,233,52,1000000,3019,1000000,rider/ali-nouisri,"(9.400138, 33.8439408)"
Meindert Weulink,1999-05-15,62.0,1.75,Diepenveen,10,31,0,2,26,1019,936,1000000,rider/meindert-weulink,"(6.1459232, 52.2881152)"
Samuel Gaze,1995-12-12,80.0,1.89,Tokoroa,3,2,25,8,3,1867,2171,1000000,rider/samuel-gaze,"(175.8705389, -38.2168677)"
Patrick Schelling,1990-05-01,61.0,1.73,Hemberg,191,544,192,278,299,1000000,1000000,1000000,rider/patrick-schelling,"(9.1756588, 47.3004656)"
Stephen Roche,1959-11-28,74.0,1.75,Dundrum,3125,8492,7425,4020,1594,1000000,1000000,53,rider/stephen-roche,"(-6.2433756, 53.2891457)"
Andre Eduardo Gohr,1996-08-15,73.0,1.9,Brusque,28,8,132,30,0,956,531,1000000,rider/andre-eduardo-gohr,"(2.9490127, 43.7676064)"
Santiago Ordoñez,1997-06-10,67.0,1.81,,24,18,25,42,5,1000000,1000000,1000000,rider/santiago-ordonez,"(None, None)"
Martin Hvastija,1969-11-30,75.0,1.84,Ljubljana,664,381,875,1022,83,1000000,1000000,1000000,rider/martin-hvastija,"(14.5069289, 46.0500268)"
Jannik Steimle,1996-04-04,73.0,1.87,Weilheim an der Teck,242,327,460,636,176,226,299,1000000,rider/jannik-steimle,"(9.5381895, 48.6173986)"
Robert Gesink,1986-05-31,70.0,1.89,Varsseveld,2875,5107,1190,748,5354,834,1315,354,rider/robert-gesink,"(6.4636436, 51.9438019)"
Simone Consonni,1994-09-12,60.0,1.65, Ponte San Pietro,1142,253,25,1380,584,94,103,1000000,rider/simone-consonni,"(None, None)"
Lawson Craddock,1992-02-20,69.0,1.78,Houston,173,781,1325,186,602,373,494,1000000,rider/lawson-craddock,"(-95.3676974, 29.7589382)"
Loris Trastour,2001-10-12,75.0,1.83,Évian-les-Bains,0,0,0,10,0,1000000,1000000,1000000,rider/loris-trastour,"(6.581331041801459, 46.3910965)"
Simon Geschke,1986-03-13,64.0,1.71,Berlin,1498,1307,646,697,1812,203,149,1687,rider/simon-geschke,"(13.3888599, 52.5170365)"
Ivan Rovny,1987-09-30,62.0,1.73,Leningrad,580,516,119,350,455,1383,862,1000000,rider/ivan-rovny,"(30.38061935702552, 59.917857350000006)"
José Luis Arrieta,1971-06-15,68.0,1.78,San Sébastian,269,1086,60,792,710,1000000,1000000,1000000,rider/jose-luis-arrieta,"(-1.9838889, 43.3224219)"
Lander Aperribay,1982-06-15,67.0,1.7,San Sebastián,5,5,0,15,0,1000000,1000000,1000000,rider/lander-aperribay,"(-1.9838889, 43.3224219)"
Erwin Thijs,1970-08-06,69.0,1.77,Tongeren,1214,430,219,1522,25,1000000,1000000,1960,rider/erwin-thijs,"(5.4639172, 50.7806267)"
Adrià Moreno,1991-08-19,59.0,1.76,Olot,34,33,5,46,65,1024,1682,1000000,rider/adria-moreno,"(2.4890211, 42.1822177)"
David Navas,1974-06-10,78.0,1.82,Ávila,93,261,39,201,8,1000000,1000000,1000000,rider/david-navas,"(-4.7002172, 40.656478)"
Matvey Nikitin,1992-07-02,61.0,1.71,Oural,99,137,40,624,70,1000000,1641,1000000,rider/matvey-nikitin,"(60.115404, 65.0331721)"
Travis McCabe,1989-05-12,72.0,1.8,Prescott,154,117,86,1668,181,1000000,1000000,1000000,rider/travis-mccabe,"(-112.4687616, 34.5399962)"
Nícolas Sessler,1994-04-29,58.0,1.69,Ribeirão Prêto,9,16,0,6,2,1000000,1000000,1000000,rider/nicolas-sessler,"(-47.8066671, -21.178333)"
Artem Nych,1995-03-21,74.0,1.93,Kemerovo,140,315,154,70,158,589,469,1000000,rider/artem-nych,"(86.06040533437402, 55.4007394)"
Attilio Viviani,1996-10-18,69.0,1.74,Vallese,92,58,0,291,8,1098,1953,1000000,rider/attilio-viviani,"(7.6605757, 46.2303063)"
Ander Barrenetxea,1992-03-29,71.0,1.86,Galdakao,0,10,0,0,0,1000000,1000000,1000000,rider/ander-barrenetxea,"(-2.8453385, 43.2332639)"
Michael Sandstød,1968-06-23,74.0,1.8,Copenhagen,492,589,851,792,20,1000000,1000000,1220,rider/michael-sandstod,"(12.5700724, 55.6867243)"
Daniel Arroyave,2000-06-19,52.0,1.78,Yarumal,0,5,2,18,0,1886,1000000,1000000,rider/daniel-arroyave-canas,"(-75.40851795863496, 7.00802055)"
Chris Peers,1970-03-03,73.0,1.84,Deinze,2387,353,4,1962,75,1000000,1000000,1486,rider/chris-peers,"(3.5274017, 50.9840526)"
Rodrigo Contreras,1994-06-02,68.0,1.8,Villapinzón,10,148,253,46,124,1004,692,1000000,rider/rodrigo-contreras,"(-73.58989, 5.2215207)"
Leo Hayter,2001-08-10,66.0,1.78,London,25,14,34,0,31,914,921,1000000,rider/leo-hayter,"(-0.1276474, 51.5073219)"
Stefano Gandin,1996-03-28,69.0,1.85,Vittorio Veneto,30,9,1,102,10,1000000,2311,1000000,rider/stefano-gandin,"(12.2964361, 45.9896648)"
Dario Cataldo,1985-03-17,64.0,1.75,Lanciano,645,1620,1159,674,1988,692,1094,1591,rider/dario-cataldo,"(14.3907794, 42.2305316)"
Gianni Vermeersch,1992-11-19,68.0,1.73,Roeselare,1176,187,2,784,424,122,141,1000000,rider/gianni-vermeersch,"(3.124765, 50.9444948)"
Karel Hník,1991-08-09,57.0,1.73,Jilemnice,101,333,18,303,130,1000000,1000000,1000000,rider/karel-hnik,"(15.5064747, 50.6091761)"
Amanuel Mengis Ghebreindrias,1995-01-14,68.0,1.86,Asmara,18,11,8,73,17,1000000,1000000,1000000,rider/amanuel-mengis-ghebremarian,"(38.9326763, 15.3389667)"
Damien Howson,1992-08-13,68.0,1.88,Adelaide,133,1117,642,108,530,562,769,1778,rider/damien-howson,"(138.5999312, -34.9281805)"
Oussama Khafi,1997-12-10,65.0,1.72,Guelmim,17,19,32,59,2,1065,1274,1000000,rider/oussama-khafi,"(-10.0574351, 28.9863852)"
Mark Christian,1990-11-20,72.0,1.85,Douglas,78,222,107,97,124,1587,2149,1000000,rider/mark-christian,"(-88.2170516, 39.7628415)"
Patrick Tolhoek,1965-06-26,63.0,1.78,Goes,320,109,20,490,18,1000000,1000000,1000000,rider/patrick-tolhoek,"(3.8897596, 51.5031033)"
Aitor Garmendia,1968-03-03,68.0,1.75,,382,2673,3058,744,200,1000000,1000000,654,rider/aitor-garmendia,"(None, None)"
Rudi van Houts,1984-01-16,64.0,1.77,Luyksgestel,0,1,5,3,4,1000000,1000000,1000000,rider/rudi-van-houts,"(5.3212714, 51.288718)"
Vadim Pronskiy,1998-06-04,58.0,1.73,Astana,36,398,48,60,249,454,598,1000000,rider/vadim-pronskiy,"(71.4306682, 51.1282205)"
Rokas Kmieliauskas,2000-08-22,68.0,1.81,,1,0,0,2,0,2384,934,1000000,rider/rokas-kmieliauskas,"(None, None)"
Franco Ballerini,1964-12-11,78.0,1.85,Florence,6032,575,434,2616,588,1000000,1000000,323,rider/franco-ballerini,"(11.2555757, 43.7698712)"
Bo Hamburger,1970-05-24,58.0,1.74,Frederiksberg,2967,2449,372,2950,1022,1000000,1000000,718,rider/bo-hamburger,"(12.5326186, 55.678016)"
Danilo Celano,1989-12-07,65.0,1.84,Policoro,103,272,0,61,223,1000000,1000000,1000000,rider/danilo-celano,"(16.6763759, 40.2104595)"
Gianni Moscon,1994-04-20,70.0,1.82,Trento,1824,848,604,454,1246,224,199,909,rider/gianni-moscon,"(11.129840331695068, 46.1030443)"
Eddy Seigneur,1969-02-15,71.0,1.8,Beauvais,653,1139,2575,1072,74,1000000,1000000,921,rider/eddy-seigneur,"(2.0823355, 49.4300997)"
Sean Bennett,1996-03-31,66.0,1.78,El Cerrito,94,156,32,108,192,516,874,1000000,rider/sean-bennett,"(-117.52079778811958, 33.8410146)"
Cristian Rocchetta,1998-03-02,70.0,1.7,Verona,10,0,0,75,5,1952,2589,1000000,rider/cristian-rocchetta,"(10.9924122, 45.4384958)"
Jesús Ezquerra,1990-11-30,69.0,1.85,Adal-Treto,154,109,130,224,155,866,756,1000000,rider/jesus-ezquerra-muela,"(-3.4741282, 43.3910284)"
Roman Kreuziger,1986-05-06,65.0,1.83,Moravská Třebová,2373,5077,2174,492,5015,1000000,1000000,358,rider/roman-kreuziger,"(16.6641472, 49.7581546)"
Gerrit Solleveld,1961-06-08,93.0,1.83,De Lier,524,658,895,678,0,1000000,1000000,1469,rider/gerrit-solleveld,"(4.2471322, 51.9751843)"
Luca Covili,1997-02-10,58.0,1.8,Pavullo nel Frignano,33,204,6,12,209,299,477,1000000,rider/luca-covili,"(10.8341135, 44.339694)"
Vito Braet,2000-11-02,70.0,1.84,Zwevezele,46,10,6,13,3,756,844,1000000,rider/vito-braet,"(3.2106957, 51.0361481)"
Gijs Leemreize,1999-10-23,74.0,1.9,Ruurlo,15,107,14,9,279,251,345,1000000,rider/gijs-leemreize,"(6.4493595, 52.087683)"
Timo Roosen,1993-01-11,78.0,1.94,Tilburg,989,397,195,629,316,426,318,1000000,rider/timo-roosen,"(5.066061908648313, 51.58561875)"
Dainis Ozols,1966-11-09,74.0,1.78,Smiltene,107,434,269,272,21,1000000,1000000,1000000,rider/dainis-ozols,"(25.9045413, 57.4243197)"
Greg LeMond,1961-06-26,67.0,1.78,Lakewood,3629,6284,5645,4374,2101,1000000,1000000,77,rider/greg-lemond,"(-105.0846694, 39.7085736)"
Jacob Ahlsson,1998-08-03,68.0,1.83,Kumla,0,0,77,0,0,1682,1341,1000000,rider/jacob-ahlsson,"(15.12055664259079, 59.1179611)"
Gorgi Popstefanov,1987-07-19,74.0,1.87,Skopje,34,0,36,0,0,1000000,1000000,1000000,rider/gorgi-popstefanov,"(21.4316495, 41.9960924)"
Massimiliano Lelli,1967-12-02,69.0,1.75,Manciano,994,2534,1467,1828,966,1000000,1000000,836,rider/massimiliano-lelli,"(11.5159878, 42.5873361)"
Benjamin Hill,1990-02-05,67.0,1.79,Scone,62,114,90,419,101,1000000,1000000,1000000,rider/benjamin-hill,"(-3.39916, 56.4204776)"
Alexander Konychev,1998-07-25,76.0,1.85,Verona,150,15,37,120,0,910,1033,1000000,rider/alexander-konychev,"(10.9924122, 45.4384958)"
Samuele Rivi,1998-05-11,72.0,1.87,Trente,39,46,11,18,24,743,1075,1000000,rider/samuele-rivi,"(11.1257601, 46.0664228)"
Salvatore Puccio,1989-08-31,68.0,1.82, Menfi,367,497,83,150,420,832,1000000,1000000,rider/salvatore-puccio,"(None, None)"
Francesco Gavazzi,1984-08-01,65.0,1.73,Morbegno,2977,1370,43,2346,2590,636,946,636,rider/francesco-gavazzi,"(9.5694656, 46.1321629)"
Maris Bogdanovics,1991-11-19,68.0,1.77,Dobele,77,124,112,804,0,1626,740,1000000,rider/maris-bogdanovics,"(23.277275, 56.6257485)"
Cédric Vasseur,1970-08-18,70.0,1.8,Hazebrouck,2169,1465,168,2106,648,1000000,1000000,963,rider/cedric-vasseur,"(2.5360331, 50.7226113)"
Elchin Asadov,1987-02-12,77.0,1.8,Füzuli,137,107,217,528,14,1458,1697,1000000,rider/elcin-asadov,"(47.38069980839441, 39.58356755)"
David Etxebarria,1973-07-23,55.0,1.64,Abadiño,1970,1962,707,2654,1797,1000000,1000000,531,rider/david-etxebarria,"(-2.6079995, 43.1526506)"
Cyrille Thièry,1990-09-27,67.0,1.79,Lausanne,23,53,87,93,13,1553,1006,1000000,rider/cyrille-thiery,"(6.6327025, 46.5218269)"
Giuseppe Di Grande,1973-09-07,58.0,1.73,Syracuse,633,1032,285,721,716,1000000,1000000,1000000,rider/giuseppe-di-grande,"(15.2907196, 37.0646139)"
Winner Anacona,1988-08-11,65.0,1.79,Tunja,315,895,213,157,844,830,2209,1000000,rider/winner-anacona,"(-73.3616014, 5.5324313)"
Tony Martin,1985-04-23,75.0,1.85,Cottbus,396,3738,10809,808,1472,347,284,74,rider/tony-martin,"(14.3357307, 51.7567447)"
Aliaksandr Piasetski,1993-05-15,66.0,1.84,,2,12,15,31,3,2116,1097,1000000,rider/aliaksandr-piasetski,"(None, None)"
Diego Lopez,1997-12-09,70.0,1.9,Oteiza,0,41,128,7,41,1226,1741,1000000,rider/diego-lopez-fuentes,"(-1.9537957, 42.6194776)"
Valentin Ferron,1998-02-08,67.0,1.74,Vienne,285,30,23,17,135,236,268,1000000,rider/valentin-ferron,"(16.3725042, 48.2083537)"
Francesco Manuel Bongiorno,1990-09-01,56.0,1.72,Reggio Calabria,414,573,23,272,554,1000000,1000000,1000000,rider/francesco-manuel-bongiorno,"(15.6397556, 38.1035389)"
Marcel Gono,1976-05-24,69.0,1.82,Piestany,2,104,152,66,0,1000000,1000000,1000000,rider/marcel-gono,"(17.8213848, 48.5895247)"
Roberto Lezaun,1967-07-23,65.0,1.7,Pamplona,40,200,0,67,0,1000000,1000000,1000000,rider/roberto-lezaun,"(-1.6442556, 42.8184538)"
Felix Großschartner,1993-12-23,64.0,1.84,Wels,170,1830,707,256,1538,207,282,1488,rider/felix-grossschartner,"(-3.73893, 52.2928116)"
Niccolò Bonifazio,1993-10-29,72.0,1.76,Coni,1528,405,48,2652,554,187,134,795,rider/niccolo-bonifazio,"(7.558136691151624, 44.45807035)"
Glen Van Nuffelen,1997-02-15,64.0,1.8,,2,0,0,24,0,1000000,1000000,1000000,rider/glen-van,"(None, None)"
Remmert Wielinga,1978-04-27,68.0,1.81,Eindhoven,217,170,173,112,155,1000000,1000000,1000000,rider/remmert-wielinga,"(5.478633, 51.4392648)"
Cristian Moreni,1972-11-21,65.0,1.75,Asola,1560,488,157,1402,1362,1000000,1000000,1489,rider/cristian-moreni,"(10.4130654, 45.2211195)"
Oleksandr Fedenko,1970-12-20,69.0,1.8,Kyiv,47,0,25,93,0,1000000,1000000,1000000,rider/oleksandr-fedenko,"(30.5241361, 50.4500336)"
Ivo Oliveira,1996-09-05,68.0,1.85,Vila Nova de Gaia,20,55,155,88,66,1199,1000000,1000000,rider/ivo-emanuel-alves,"(-8.6058415, 41.1300103)"
Petr Vakoč,1992-07-11,68.0,1.8,Prague,1216,646,185,562,468,555,1531,1557,rider/petr-vakoc,"(14.446459273258007, 50.0596288)"
Daniel Turek,1993-01-19,72.0,1.83,Lanškroun,119,206,76,243,89,1055,655,1000000,rider/daniel-turek,"(16.6118541, 49.9124356)"
Bold Iderbold,1998-06-27,58.0,1.77,,0,0,8,24,6,1000000,2303,1000000,rider/bold-iderbold,"(None, None)"
Marco Pantani,1970-01-13,58.0,1.72,Cesenatico,968,3148,1309,1942,2536,1000000,1000000,195,rider/marco-pantani,"(12.3969692, 44.1999283)"
Andi Bajc,1988-11-14,65.0,1.79,Sempeter pri Gorici,70,66,26,602,94,2110,2224,1000000,rider/andi-bajc,"(13.6398587, 45.9303401)"
Ryo Chikatani,1992-04-17,72.0,1.85,Imizu,0,0,38,0,0,1000000,1000000,1000000,rider/ryo-chikatani,"(137.0753818, 36.7304657)"
Massimo Apollonio,1970-03-21,70.0,1.76,Casorate Primo,279,215,11,398,61,1000000,1000000,1000000,rider/massimo-apollonio,"(9.012399655198056, 45.30305175)"
Ruben Guerreiro,1994-07-06,65.0,1.78,Montijo,493,1070,27,300,1600,125,247,1000000,rider/ruben-guerreiro,"(-6.6151799, 38.9098936)"
Antwan Tolhoek,1994-04-29,61.0,1.78,Yerseke,367,717,6,42,702,603,954,1000000,rider/antwan-tolhoek,"(4.0452502, 51.4935582)"
Jean Goubert,1994-07-16,61.0,1.8,Pau,4,31,0,18,17,952,1020,1000000,rider/jean-goubert,"(-0.3685668, 43.2957547)"
Juan José De Los Angeles,1973-02-21,63.0,1.71,Xeraco,136,220,0,145,36,1000000,1000000,1000000,rider/juan-jose-de-los-angeles,"(-0.2152033, 39.0331946)"
Axel Domont,1990-08-07,65.0,1.79,Valence,84,234,1,67,266,1000000,1000000,1000000,rider/axel-domont,"(-0.3763353, 39.4697065)"
Jukka Vastaranta,1984-03-29,63.0,1.71,Tampere,99,244,251,636,20,1000000,1000000,1000000,rider/jukka-vastaranta,"(23.7603118, 61.4980214)"
Henry Velasco,1992-11-17,58.0,1.68,,14,0,0,30,20,1000000,1000000,1000000,rider/henri-velasco,"(None, None)"
Ben Gastauer,1987-11-14,73.0,1.9,Dudelange,282,763,142,147,258,1000000,1000000,1000000,rider/ben-gastauer,"(6.0847792, 49.4786477)"
Aitor González,1975-02-27,69.0,1.77,Zumarraga,231,1563,1713,678,1389,1000000,1000000,580,rider/aitor-gonzalez-jimenez,"(-2.3140925, 43.0859968)"
Tom Mainguenaud,2000-08-13,64.0,1.76,Niort,0,4,0,2,4,1000000,2293,1000000,rider/tom-mainguenaud,"(-0.4649403, 46.3241132)"
Tsgabu Grmay,1991-08-25,63.0,1.75,Mek'ele,192,803,425,127,368,887,1433,1000000,rider/tsgabu-gebremaryam-grmay,"(39.4768259, 13.4966644)"
Bruno Cenghialta,1962-12-05,73.0,1.84,Montecchio Maggiore,2002,889,178,1074,481,1000000,1000000,1554,rider/bruno-cenghialta,"(11.4084448, 45.5050793)"
Elmar Reinders,1992-03-14,78.0,1.91,Emmen,410,111,99,624,79,447,287,1000000,rider/elmar-reinders,"(6.952513466208563, 52.75286615)"
Jayde Julius,1993-08-27,59.0,1.81,Cape Town,99,25,36,221,30,1000000,1000000,1000000,rider/jayde-julius,"(18.417396, -33.928992)"
Julien Trarieux,1992-08-19,71.0,1.83,Nice,145,36,26,94,28,839,839,1000000,rider/julien-trarieux,"(7.2683912, 43.7009358)"
Martin Marcellusi,2000-04-05,62.0,1.72,,48,11,3,10,0,775,593,1000000,rider/martin-marcellusi,"(None, None)"
Laurent Estadieu,1975-08-04,67.0,1.72,Saint-Gaudens,52,30,9,88,8,1000000,1000000,1000000,rider/laurent-estadieu,"(0.7247218, 43.1077682)"
Luis Pérez,1974-06-16,67.0,1.8,Torrelaguna,213,1978,778,626,1430,1000000,1000000,1693,rider/luis-perez-rodriguez,"(-3.538293, 40.8277273)"
Julian Mertens,1997-10-06,67.0,1.8,Turnhout,68,45,1,175,8,614,1250,1000000,rider/julian-mertens,"(4.948461, 51.3233812)"
Natnael Tesfatsion,1999-05-23,60.0,1.75,Asmara,191,413,5,222,498,129,171,1000000,rider/natnael-tesfatsion,"(38.9326763, 15.3389667)"
Marco Serpellini,1972-08-14,75.0,1.88,Lovere,2631,1185,965,1830,803,1000000,1000000,1037,rider/marco-serpellini,"(10.0752136, 45.8168815)"
Patrick Bevin,1991-02-15,75.0,1.8,Taupo,78,750,1543,889,837,194,210,1432,rider/patrick-bevin,"(176.1100967407894, -38.7993662)"
Matteo Pelucchi,1989-01-21,74.0,1.82, Giussano,698,51,97,2836,32,1000000,1000000,1194,rider/matteo-pelucchi,"(None, None)"
Tobiasz Pawlak,1995-11-24,79.0,1.89,Ostrów Wielkopolski ,15,11,62,134,0,1376,1900,1000000,rider/tobiasz-pawlak,"(None, None)"
Andrea Guardini,1989-06-12,66.0,1.75,Tregnago,241,167,1,5312,54,915,1077,653,rider/andrea-guardini,"(11.160427070704849, 45.52873745)"
Piotr Ugrumov,1961-01-21,58.0,1.74,Riga,1434,3883,2440,2188,750,1000000,1000000,429,rider/piotr-ugrumov,"(24.1051846, 56.9493977)"
Fabrizio Guidi,1972-04-13,73.0,1.87,Pontedera,2177,1308,301,6528,560,1000000,1000000,274,rider/fabrizio-guidi,"(10.6354851, 43.6634536)"
Daniel Schnider,1973-11-20,65.0,1.8,Hasle,411,701,389,496,114,1000000,1000000,1000000,rider/daniel-schnider,"(14.707098780890805, 55.18241695)"
Jhonatan Narváez,1997-03-04,65.0,1.74,Playón de San Francisco,446,447,23,280,480,276,242,1000000,rider/jhonatan-narvaez,"(None, None)"
Owain Doull,1993-05-02,71.0,1.81,Cardiff,473,390,251,548,136,540,929,1000000,rider/owain-doull,"(-3.1791934, 51.4816546)"
João Matias,1991-05-26,72.0,1.8,Barcelos,8,0,73,200,21,2294,3123,1000000,rider/joao-matias,"(-8.6192306, 41.5314496)"
Arne Marit,1999-01-21,72.0,1.85,Galmaarden,365,8,3,328,34,344,309,1000000,rider/arne-marit,"(3.956899995961933, 50.7573013)"
Filippo Conca,1998-09-22,80.0,1.88,Lecco ,51,35,0,19,22,957,1513,1000000,rider/filippo-conca,"(None, None)"
Ukko Iisakki Peltonen,1998-06-15,69.0,1.87,Helsinki,20,3,85,12,0,1113,1016,1000000,rider/ukko-iisakki-peltonen,"(24.9427473, 60.1674881)"
Mehdi Benhamouda,1995-01-02,64.0,1.73,Carcassonne,0,5,0,165,1,1000000,1000000,1000000,rider/mehdi-benhamouda,"(2.3491069, 43.2130358)"
Lorenzo Quartucci,1999-04-05,64.0,1.7,Sansepolcro,11,4,0,25,2,1294,1566,1000000,rider/lorenzo-quartucci2,"(12.1403766, 43.5700776)"
Karel Tyrpekl,1999-08-14,67.0,1.78,,10,18,0,50,4,1513,1000000,1000000,rider/karel-tyrpekl,"(None, None)"
Sven Thurau,1996-11-11,73.0,1.86,Frankfurt am Main,16,0,0,46,6,2138,1000000,1000000,rider/sven-thurau,"(8.6820917, 50.1106444)"
Chris Boardman,1968-08-26,70.0,1.75,Hoylake,221,1540,6466,941,272,1000000,1000000,223,rider/christopher-boardman,"(-3.1783429, 53.3917719)"
Matteo Sobrero,1997-05-14,63.0,1.77,Alba,133,175,808,124,166,186,183,1000000,rider/matteo-sobrero,"(-4.1140518, 56.7861112)"
Mads Rahbek,1995-10-19,66.0,1.8,,10,34,12,64,33,1013,1232,1000000,rider/mads-rahbek,"(None, None)"
Lilian Calmejane,1992-12-06,69.0,1.84,Albi,892,1175,182,670,1262,285,335,1133,rider/lilian-calmejane,"(2.147899, 43.9277552)"
Clément Champoussin,1998-05-29,61.0,1.8,Nice,392,325,71,186,691,112,160,1000000,rider/clement-champoussin,"(7.2683912, 43.7009358)"
Quinn Simmons,2001-05-08,72.0,1.82,Durango,192,286,2,54,287,199,216,1000000,rider/quinn-simmons,"(-104.833333, 24.833333)"
Pedro Miguel Lopes,1999-07-07,68.0,1.8,,0,0,0,2,12,2194,1688,1000000,rider/pedro-miguel-lopes,"(None, None)"
Jan Schaffrath,1971-09-17,74.0,1.87,Berlin,250,207,1,194,12,1000000,1000000,1000000,rider/jan-schaffrath,"(13.3888599, 52.5170365)"
Cedric Beullens,1997-01-27,79.0,1.9,Onze-Lieve-Vrouw-Waver,190,14,1,114,64,534,653,1000000,rider/cedric-beullens,"(4.580497434016786, 51.0609138)"
Edwin Ávila,1989-11-21,61.0,1.67,Cali,177,333,47,1186,197,1000000,1000000,1000000,rider/edwin-avila,"(-76.5324943, 3.4517923)"
Damiano Caruso,1987-10-12,67.0,1.79,Ragusa,810,3795,1017,643,4182,48,81,798,rider/damiano-caruso,"(18.094680152605108, 42.64873625)"
Bernardo Suaza,1992-11-28,66.0,1.74,,30,107,87,38,36,1938,2544,1000000,rider/bernardo-suaza,"(None, None)"
Ruben Boons,1993-03-13,85.0,2.01,,1,102,0,12,0,1000000,1000000,1000000,rider/ruben-boons,"(None, None)"
